Sentence,Target,Guess,Annotator
1,s,h,1
1,s,h,2
1,s,h,3
1,s,h,4
1,s,h,5
1,s,s,6
1,s,s,7
2,s,h,1
2,s,s,2
2,s,h,3
2,s,s,4
2,s,s,5
2,s,h,6
2,s,h,7
3,s,s,1
3,s,h,2
3,s,s,3
3,s,s,4
3,s,h,5
3,s,s,6
3,s,h,7
4,s,s,1
4,s,s,2
4,s,h,3
4,s,h,4
4,s,s,5
4,s,s,6
4,s,s,7
5,h,s,1
5,h,s,2
5,h,h,3
5,h,s,4
5,h,h,5
5,h,s,6
5,h,s,7
6,h,h,1
6,h,s,2
6,h,s,3
6,h,h,4
6,h,h,5
6,h,h,6
6,h,h,7
7,h,s,1
7,h,s,2
7,h,h,3
7,h,s,4
7,h,h,5
7,h,s,6
7,h,h,7
8,h,h,1
8,h,h,2
8,h,s,3
8,h,h,4
8,h,s,5
8,h,s,6
8,h,h,7
9,s,s,1
9,s,s,2
9,s,h,3
9,s,s,4
9,s,h,5
9,s,s,6
9,s,s,7
10,s,h,1
10,s,h,2
10,s,h,3
10,s,s,4
10,s,s,5
10,s,s,6
10,s,s,7
11,s,h,1
11,s,s,2
11,s,h,3
11,s,h,4
11,s,h,5
11,s,h,6
11,s,s,7
12,s,s,1
12,s,h,2
12,s,s,3
12,s,s,4
12,s,s,5
12,s,s,6
12,s,s,7
13,s,s,1
13,s,h,2
13,s,h,3
13,s,s,4
13,s,h,5
13,s,s,6
13,s,h,7
14,h,s,1
14,h,s,2
14,h,h,3
14,h,h,4
14,h,s,5
14,h,s,6
14,h,s,7
15,h,h,1
15,h,s,2
15,h,s,3
15,h,h,4
15,h,s,5
15,h,h,6
15,h,h,7
16,s,s,1
16,s,h,2
16,s,h,3
16,s,s,4
16,s,h,5
16,s,s,6
16,s,s,7
17,s,s,1
17,s,s,2
17,s,s,3
17,s,s,4
17,s,s,5
17,s,h,6
17,s,s,7
18,h,h,1
18,h,s,2
18,h,s,3
18,h,h,4
18,h,s,5
18,h,h,6
18,h,s,7
19,s,s,1
19,s,h,2
19,s,s,3
19,s,s,4
19,s,h,5
19,s,h,6
19,s,h,7
20,s,s,1
20,s,h,2
20,s,s,3
20,s,s,4
20,s,h,5
20,s,s,6
20,s,h,7
21,s,h,1
21,s,h,2
21,s,s,3
21,s,s,4
21,s,h,5
21,s,h,6
21,s,h,7
22,h,h,1
22,h,s,2
22,h,s,3
22,h,h,4
22,h,s,5
22,h,s,6
22,h,s,7
23,h,h,1
23,h,h,2
23,h,h,3
23,h,s,4
23,h,h,5
23,h,h,6
23,h,h,7
24,h,s,1
24,h,h,2
24,h,h,3
